Name,Description_Village,Price_Village,Description_Chennai_menu_items.csv,Price_Chennai_menu_items.csv,Price_Difference_Chennai_menu_items.csv
Medu Vada,Lentil flour donuts.,6.0,2 lightly spiced lentil flour donuts.,5.95,-0.04999999999999982
Dahi Vada,Lentil donut soaked in sweet yogurt.,8.95,2 lightly spiced lentil flour donuts smothered in a tangy yogurt sauce.,6.95,-1.9999999999999991
Batata Vada,Mashed potato spices and fried with chickpeas flour.,6.0,2 potato fritters served with a spicy sweet sauce.,6.45,0.4500000000000002
Samosa,Spiced potato with green peas dumplings.,6.0,2 flaky turnovers filled with spicy potatoes and green peas.,6.45,0.4500000000000002
Tomato Soup,No description,7.45,"Tomato, moong dal and spices.",5.95,-1.5
Rasam,No description,7.45,A traditional spicy tamarind lentil soup from Chennai.,5.15,-2.3
Sambar,Lentil based vegetable soup.,7.45,Tangy spicy lentil broth.,5.15,-2.3
Garden Soup,Mixed vegetables soup.,7.45,Mixed harvest vegetables lightly spiced.,6.95,-0.5
Garden Salad,"Dressing with lettuce, tomato, cucumber, and carrots.",7.45,"Lettuce, tomato, cucumber and carrots served with house dressing.",6.95,-0.5
Idly,A Savary rice cake from Indian subcontinent.,7.45,2 steamed rice flour cakes.,5.95,-1.5
Mini Idly,Small cocktail idly.,7.45,Mini size rice flour cake.,6.95,-0.5
Podi Idly,Rice pancakes spiced with dry Channa Daal powder.,8.95,Idly and spicy podi mix.,6.95,-1.9999999999999991
Idly in Sambar,Rice cakes smothered with sambar.,8.95,2 rice flour cakes smothered in sambar.,6.95,-1.9999999999999991
Samosa Chat,"Samosas topped with chickpeas, onions, tomato, yogurt, chutney and spices.",8.95,Samosa and chickpeas with tangy mint sauce.,7.45,-1.4999999999999991
Gobi Manchurian Dry,Cauliflower tossed in home style sauce.,12.95,Cauliflower sauteed in homemade Szechuan sauce.,9.95,-3.0
Sada Dosa,Thin rice crepe.,11.95,"Crispy crepe made with rice and lentil flour, spice free.",9.45,-2.5
Set Dosa,Soft thick rice crepe.,11.95,2 soft pancakes with spices.,10.95,-1.0
Masala Dosa,Crepe with mashed potato spices.,12.95,Spiced dosa filled with onion and mashed potato.,10.95,-2.0
Butter Masala Dosa,Creape cooked with butter and potato.,13.75,Crepe cooked with butter with potato masala.,11.45,-2.3000000000000007
Masala Dosa,Spicy red crepe. Spicy.,12.95,Spiced dosa filled with onion and mashed potato.,10.95,-2.0
Paneer Masala Dosa,Crepe cooked with Cottage cheese and potato.,14.95,"Crepe filled with paneer, onion, mashed potato.",11.45,-3.5
