Name,Description,Village_Price,Highest_Price,Lowest_Price,Comparison_Status
Medu Vada,Lentil flour donuts., $6.00 , $6.60 , $5.95 ,Matches Found
Medu Vada in Sambar,Lentil flour donuts smothered with sambar., $6.99 , $9.60 , $6.99 ,Matches Found
Medu Vada in Rasam,Lentil flour donuts smothered with Rasam soup., $6.99 , $9.60 , $6.99 ,Matches Found
Combo,Rice cake and lentil donut., $5.99 , $5.99 , $3.50 ,Matches Found
Combo in Sambar,Idly and Vada., $6.99 , $6.99 , $4.99 ,No Matches
Masala Vada,Crispy Chenna Dal mixed with spiced and fried., $7.45 , $7.45 , $6.60 ,Matches Found
Dahi Vada,Lentil donut soaked in sweet yogurt., $8.95 , $9.60 , $3.95 ,Matches Found
Batata Vada,Mashed potato spices and fried with chickpeas flour., $6.00 , $6.45 , $5.99 ,Matches Found
Mysore Bonda,Lentil balls spices and cashew fried., $6.00 , $6.00 , $4.00 ,No Matches
Chennai Pakkoda,Onions and Chenna Dal spices fried., $6.00 , $6.00 , $4.00 ,No Matches
Spring Rolls,Vegetables stuffed platter., $7.45 , $7.45 , $5.45 ,No Matches
Paneer Pakkoda,Cottage cheese deep-fried with spices., $8.95 , $8.95 , $6.95 ,No Matches
Samosa,Spiced potato with green peas dumplings., $6.00 , $6.45 , $5.99 ,Matches Found
Aloo Tikki,Mashed potato with spiced fried., $6.00 , $6.00 , $4.00 ,No Matches
Chilly Pakora,No description, $6.00 , $6.00 , $4.00 ,No Matches
Tomato Soup,No description, $7.45 , $7.45 , $4.99 ,Matches Found
Vegetables Manchow Soup,South Indian spiced lentil soup., $7.45 , $7.45 , $5.45 ,No Matches
Rasam,No description, $7.45 , $7.45 , $1.95 ,Matches Found
Sambar,Lentil based vegetable soup., $7.45 , $7.45 , $1.75 ,Matches Found
Mulligatawny Soup,Lentil thick soup with pepper and spices., $7.45 , $7.45 , $4.99 ,Matches Found
Garden Soup,Mixed vegetables soup., $7.45 , $7.45 , $6.95 ,Matches Found
Katchumbar Salad,"Simple chopped salad with onions, tomato, and cucumber chips.", $7.45 , $7.45 , $5.45 ,No Matches
Garden Salad,"Dressing with lettuce, tomato, cucumber, and carrots.", $7.45 , $7.45 , $4.75 ,Matches Found
Idly,A Savary rice cake from Indian subcontinent., $7.45 , $7.45 , $3.50 ,Matches Found
Masala Idly,Rice cakes sauteed with Indian spices and herbs., $9.95 , $9.95 , $7.95 ,No Matches
Mini Idly,Small cocktail idly., $7.45 , $7.99 , $6.95 ,Matches Found
Ghee Fried Idly,Rice cakes fried with spices and onions., $9.95 , $9.95 , $6.99 ,Matches Found
Podi Idly,Rice pancakes spiced with dry Channa Daal powder., $8.95 , $8.95 , $4.50 ,Matches Found
Chilli Idly,Rice cakes cooked with onion and bell peppering Chinese chilli sauce., $9.95 , $9.95 , $7.95 ,No Matches
Idly in Sambar,Rice cakes smothered with sambar., $8.95 , $9.60 , $6.95 ,Matches Found
Idly Rasam,Rice cakes smothered with rasam soup., $8.95 , $8.95 , $6.95 ,No Matches
Dami Idly,Rice cakes soaked in sweet yogurt., $7.45 , $7.45 , $5.45 ,No Matches
